name,orbit_determination_date,first_observation_date,last_observation_date,data_arc_in_days,observations_used,orbit_uncertainty,minimum_orbit_intersection,epoch_osculation,eccentricity,semi_major_axis (AU),inclination (deg),ascending_node_longitude (deg),orbital_period (days),perihelion_distance (AU),perihelion_argument,aphelion_distance (AU),perihelion_time,mean_anomaly (deg),mean_motion (revs/year)
468005 2012 XD112,2021-12-10 04:50:07,2012-12-10,2021-12-09,3286.0,319.0,0.0,0.01,2459600.5,0.37,1.32,3.72,97.8,555.66,0.84,76.72,1.81,2459681.89,307.27,0.65
489900 2008 KP,2021-04-14 17:30:03,2008-05-27,2019-05-24,4014.0,95.0,1.0,0.36,2459600.5,0.79,1.1,59.85,62.45,421.72,0.23,345.0,1.97,2459805.05,185.39,0.85
1998 VD32,2021-06-29 06:25:15,1998-11-14,2020-11-25,8047.0,135.0,0.0,0.03,2459600.5,0.32,1.1,1.96,1.12,423.25,0.75,151.97,1.45,2459671.2,299.87,0.85
2012 AF3,2021-04-15 05:54:37,2012-01-04,2012-01-25,21.0,30.0,7.0,0.02,2459600.5,0.14,1.06,12.84,105.12,397.37,0.91,250.54,1.21,2459403.65,178.34,0.91
2014 GQ17,2021-04-15 09:44:12,2014-04-05,2014-04-30,25.0,93.0,6.0,0.0,2459600.5,0.25,0.85,0.09,79.43,288.08,0.64,330.52,1.06,2459533.76,83.4,1.25
2014 WF6,2021-04-15 11:45:53,2014-11-17,2016-11-04,718.0,57.0,1.0,0.01,2459600.5,0.58,1.56,13.52,230.11,714.86,0.65,92.51,2.48,2459782.45,268.37,0.5
2016 PA40,2021-04-15 17:23:26,2016-08-07,2016-09-06,30.0,96.0,6.0,0.03,2459600.5,0.29,1.01,10.47,327.63,371.84,0.72,118.43,1.3,2459569.28,30.23,0.97
2016 TH10,2021-04-15 17:48:43,2016-10-04,2016-10-19,15.0,90.0,7.0,0.01,2459600.5,0.52,0.77,1.39,7.7,244.76,0.37,164.29,1.16,2459706.7,203.79,1.47
2017 FZ2,2021-04-15 18:47:30,2017-03-19,2018-03-14,360.0,162.0,1.0,0.0,2459600.5,0.26,1.01,1.81,185.74,369.39,0.74,100.18,1.27,2459757.62,206.87,0.97
2017 KV4,2021-04-15 19:05:37,2017-05-21,2017-11-14,177.0,64.0,5.0,0.03,2459600.5,0.49,1.82,3.36,261.75,897.04,0.93,67.16,2.71,2459777.75,288.86,0.4
2020 KL4,2021-04-15 22:33:59,2020-05-13,2020-05-28,15.0,13.0,8.0,0.13,2458991.5,0.33,1.61,25.22,65.74,744.3,1.08,222.96,2.13,2459041.13,335.99,0.48
2020 WZ1,2021-12-30 04:50:56,2020-11-17,2021-12-29,407.0,97.0,2.0,0.35,2459600.5,0.37,1.04,45.24,263.59,388.2,0.65,342.28,1.43,2459729.28,240.57,0.93
2021 GT2,2021-04-30 06:19:54,2021-04-04,2021-04-14,10.0,29.0,6.0,0.02,2459600.5,0.23,0.96,3.1,239.98,341.76,0.73,133.86,1.18,2459482.39,124.42,1.05
2022 ER4,2022-04-12 06:23:57,2008-03-10,2022-04-11,5145.0,113.0,0.0,0.24,2459600.5,0.56,2.79,6.65,40.44,1701.11,1.24,218.53,4.34,2459747.44,328.9,0.21
2003 ME7,2021-04-14 21:45:55,2003-06-29,2015-08-08,4423.0,66.0,0.0,0.24,2459600.5,0.29,1.78,19.11,256.21,867.7,1.26,351.82,2.3,2459729.66,306.41,0.41
2009 QH6,2021-08-26 05:53:12,2009-08-19,2021-08-24,4388.0,142.0,0.0,0.01,2459600.5,0.19,1.06,14.29,323.77,398.29,0.86,104.26,1.26,2459532.1,61.82,0.9
2010 KJ37,2021-04-15 03:50:54,2010-05-23,2016-06-02,2202.0,22.0,6.0,0.09,2459600.5,0.09,1.13,10.84,236.14,437.14,1.03,86.54,1.23,2459799.4,196.2,0.82
2011 TK5,2021-04-15 05:30:19,2011-10-03,2011-10-27,24.0,43.0,7.0,0.12,2459600.5,0.43,0.85,12.59,186.01,288.0,0.48,348.97,1.22,2459700.05,235.56,1.25
2017 RP15,2021-04-15 19:28:23,2017-09-14,2017-09-28,14.0,26.0,7.0,0.04,2459600.5,0.19,1.18,7.32,354.73,468.46,0.96,68.32,1.41,2459483.16,90.17,0.77
2018 PZ21,2021-04-15 20:35:32,2018-08-11,2018-09-05,25.0,19.0,7.0,0.0,2459600.5,0.26,0.86,3.16,308.99,289.24,0.64,214.9,1.08,2459678.66,262.72,1.24
2019 AS4,2021-04-15 20:58:42,2015-07-09,2019-02-04,1306.0,35.0,3.0,0.19,2459600.5,0.11,1.26,18.63,99.72,514.58,1.12,296.9,1.4,2459426.53,121.71,0.7
2019 HS,2021-04-15 21:14:11,2019-04-25,2019-05-01,6.0,47.0,7.0,0.01,2459600.5,0.29,0.81,9.75,37.26,265.5,0.58,18.96,1.04,2459555.47,61.06,1.36
2021 KQ1,2021-05-22 05:50:59,2021-05-20,2021-05-22,2.0,23.0,7.0,0.01,2459600.5,0.24,1.04,16.78,238.71,390.06,0.79,260.96,1.3,2459667.24,298.4,0.92
2010 VL65,2021-11-24 04:53:44,2010-11-04,2010-11-07,3.0,24.0,6.0,0.01,2459600.5,0.15,1.07,4.28,222.64,405.24,0.91,252.59,1.23,2459588.34,10.8,0.89
2013 QG11,2021-04-15 08:27:23,2013-08-28,2013-09-02,5.0,55.0,7.0,0.02,2459600.5,0.32,1.47,7.17,156.52,652.99,0.99,148.95,1.95,2459771.11,265.94,0.55
2015 VE,2021-04-15 15:10:23,2015-11-01,2015-12-01,30.0,84.0,6.0,0.01,2459600.5,0.12,1.1,8.36,216.36,420.61,0.96,127.39,1.24,2459801.52,187.95,0.86
2016 JP15,2021-05-05 05:51:55,2015-06-03,2021-05-04,2162.0,96.0,1.0,0.13,2459600.5,0.51,0.89,24.07,61.29,308.59,0.44,333.95,1.35,2459500.55,116.6,1.17
2018 NC15,2022-03-18 05:53:02,2018-07-10,2022-03-17,1346.0,34.0,1.0,0.12,2459600.5,0.34,1.6,14.12,94.59,736.75,1.05,126.13,2.14,2459695.19,313.73,0.49
