,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
83,Ben Roethlisberger,PIT,QB,28,12,12,240,389,3200,5,34,176,0,0,0,0,6,3,3200,17,389,176,2,34,0,0,209.6
84,Ryan Fitzpatrick,BUF,QB,28,13,13,255,441,3000,15,40,269,0,0,0,0,8,5,3000,23,441,269,0,40,0,0,198.9
85,Mark Sanchez,NYJ,QB,24,16,16,278,507,3291,13,30,105,0,0,0,0,9,1,3291,17,507,105,3,30,0,0,200.14
86,Sam Bradford,STL,QB,23,16,16,354,590,3512,15,27,63,0,0,0,0,7,2,3512,18,590,63,1,27,0,0,190.78
87,Donovan McNabb,WAS,QB,34,13,13,275,472,3377,15,29,151,0,0,0,0,10,1,3377,14,472,151,0,29,0,0,174.18
88,Shaun Hill,DET,QB,30,11,10,257,416,2686,12,22,123,0,0,0,0,3,1,2686,16,416,123,0,22,0,0,157.74
89,Jason Campbell,OAK,QB,29,13,12,194,329,2387,8,47,222,0,0,0,0,9,1,2387,13,329,222,1,47,0,0,157.68
90,Chad Henne,MIA,QB,25,15,14,301,490,3301,19,35,52,0,0,0,0,5,2,3301,15,490,52,0,35,0,0,155.24
91,Jon Kitna,DAL,QB,38,10,9,209,318,2365,12,31,147,0,0,0,0,6,1,2365,16,318,147,1,31,0,0,153.3
92,Matt Hasselbeck,SEA,QB,35,14,14,266,444,3001,17,23,60,0,0,0,0,7,5,3001,12,444,60,3,23,0,0,148.04
93,Alex Smith,SFO,QB,26,11,10,204,342,2370,10,18,60,0,0,0,0,4,2,2370,14,342,60,0,18,0,0,132.8
94,Thomas Jones,KAN,RB,32,16,10,0,0,0,0,245,896,20,14,122,8.71,3,1,0,0,0,896,6,245,122,0,149.8
95,Felix Jones,DAL,RB,23,16,7,0,0,0,0,185,800,52,48,450,9.38,2,1,0,0,0,800,1,185,450,1,183
96,Michael Bush,OAK,RB,26,14,3,0,0,0,0,158,655,24,18,194,10.78,0,0,0,0,0,655,8,158,194,0,150.9
97,Brandon Jackson,GNB,RB,25,16,13,0,0,0,0,190,703,50,43,342,7.95,1,0,0,0,0,703,3,190,342,1,171.5
98,Danny Woodhead,2TM,RB,25,15,3,0,0,0,0,97,547,44,34,379,11.15,1,1,0,0,0,547,5,97,379,1,160.6
99,Ronnie Brown,MIA,RB,29,16,16,0,2,0,0,200,734,43,33,242,7.33,3,2,0,0,2,734,5,200,242,0,156.6
100,Marshawn Lynch,2TM,RB,24,16,14,0,0,0,0,202,737,26,22,145,6.59,4,4,0,0,0,737,6,202,145,0,138.2
101,Ryan Mathews,SDG,RB,23,12,9,0,0,0,0,158,678,26,22,145,6.59,5,3,0,0,0,678,7,158,145,0,140.3
102,Ryan Torain,WAS,RB,24,10,8,0,0,0,0,164,742,27,18,125,6.94,2,1,0,0,0,742,4,164,125,2,138.7
103,Tim Hightower,ARI,RB,24,16,13,0,0,0,0,153,736,42,21,136,6.48,5,4,0,0,0,736,5,153,136,0,130.2
104,Kerry Collins,TEN,QB,38,10,7,160,278,1823,8,10,1,0,0,0,0,5,3,1823,14,278,1,0,10,0,0,107.02
105,Pierre Garcon,IND,WR,24,14,14,0,0,0,0,2,6,119,67,784,11.7,0,0,0,0,0,6,0,2,784,6,182
106,Austin Collie,IND,WR,25,9,6,0,0,0,0,0,0,71,58,649,11.19,1,1,0,0,0,0,0,0,649,8,168.9
107,Davone Bess,MIA,WR,25,16,8,0,0,0,0,2,-3,125,79,820,10.38,3,1,0,0,0,-3,0,2,820,5,188.7
108,Santonio Holmes,NYJ,WR,26,12,10,0,0,0,0,2,17,96,52,746,14.35,2,2,0,0,0,17,0,2,746,6,160.3
109,Michael Crabtree,SFO,WR,23,16,15,0,0,0,0,0,0,101,55,741,13.47,0,0,0,0,0,0,0,0,741,6,165.1
110,Malcom Floyd,SDG,WR,29,11,9,0,0,0,0,0,0,77,37,717,19.38,1,0,0,0,0,0,0,0,717,6,144.7
111,Nate Burleson,DET,WR,29,14,14,0,0,0,0,7,81,86,55,625,11.36,2,2,0,0,0,81,0,7,625,6,157.6
